Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
14/08/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  WFL,59.97,General Retail and Wholesale,Shoe shops
14/08/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),HOMEBASE LTD 226,36.33,Building Materials,Timber & building supplies
15/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,119.88,Books and Periodicals,Book stores
15/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,44.00,Books and Periodicals,Book stores
15/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,28.21,Books and Periodicals,Book stores
15/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,145.78,General Retail and Wholesale,Grocery stores
15/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,74.42,General Retail and Wholesale,Grocery stores
15/08/2014,DCC TOTNES FULLFILLING LIVES S (00247517),ELECTRONIC TEMPERATURE,26.88,General Retail and Wholesale,Miscellaneous retail
15/08/2014,D C C - BIDEFORD COLLEGE (00247481),MINDSETS UK LIMITED,119.82,Training and Educational,Schools
15/08/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),GYM RATZ,472.84,General Retail and Wholesale,Sporting goods shops
16/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,3.08,Books and Periodicals,Book stores
18/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,69.57,Books and Periodicals,Book stores
18/08/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,45.99,Books and Periodicals,Book stores
18/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,41.28,General Retail and Wholesale,Grocery stores
18/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO DIRECT,12.50,General Retail and Wholesale,Miscellaneous retail
19/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),EASYLINK UK,125.10,Mail Order / Direct Selling,Direct sales companies
19/08/2014,DCC COURT OF PROTECT-C 0509893 (00509893),BERNARD SMITH,450.00,General Retail and Wholesale,Electronics shops
19/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,190.96,General Retail and Wholesale,Grocery stores
19/08/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,6.00,General Retail and Wholesale,Grocery stores
20/08/2014,DCC ST PETERS - C 0559305 (00559305),Amazon EU,6.21,Mail Order / Direct Selling,Direct sales companies
21/08/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon EU,7.61,Mail Order / Direct Selling,Direct sales companies
21/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,74.72,General Retail and Wholesale,Grocery stores
21/08/2014,DCC COMM SERV'S DEVON-TIVERTON (00322820),WWW.TENPIN.CO.UK,40.94,Leisure Activities,"Member clubs, sport, recreation & golf"
21/08/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),B & Q,29.92,Building Materials,Timber & building supplies
22/08/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,27.83,Books and Periodicals,Book stores
22/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,122.90,General Retail and Wholesale,Grocery stores
23/08/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon EU,17.91,Mail Order / Direct Selling,Direct sales companies
23/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,37.39,General Retail and Wholesale,Grocery stores
25/08/2014,DCC - ST ANDREWS PRI 0467693 (00467693),Amazon EU,20.77,Mail Order / Direct Selling,Direct sales companies
25/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,33.53,General Retail and Wholesale,Grocery stores
25/08/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,76.07,General Retail and Wholesale,Grocery stores
26/08/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),Amazon  Mktplce EU-UK,15.79,Books and Periodicals,Book stores
26/08/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),Amazon  Mktplce EU-UK,14.98,Books and Periodicals,Book stores
26/08/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),Amazon  Mktplce EU-UK,53.98,Books and Periodicals,Book stores
26/08/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),RAINBOW WHOLESALE,7.48,General Retail and Wholesale,Department stores
